prolific_id,ramp_orientation,ramp_or_cube,orientation,predicted_further,predicted_direction,response,ramp_color,cube_color,feature,orientation_flip,guess,motion_mechanism,outcome_line,repeat_prior,memory_generic
665f123b82317d230d7b6fb6,backward,ramp,consistent,black,right,i think black goes farther...maybe,False,True,cube_feature,False,False,False,False,False,False
665f123b82317d230d7b6fb6,backward,ramp,consistent,blue,right,yellow ramp makes cube go shorter ,True,False,ramp_feature,False,False,False,False,False,False
665f123b82317d230d7b6fb6,backward,ramp,reversed,black,left,black goes farther,False,True,cube_feature,False,False,False,False,False,False
665f123b82317d230d7b6fb6,backward,ramp,reversed,blue,left,yellow ramp equals shorter distanvce,True,False,ramp_feature,False,False,False,False,False,False
61084dfa57b8afc07829bb19,forward,ramp,consistent,yellow,right,The cubes travel farther on the yellow than the blue,True,False,ramp_feature,False,False,False,False,False,False
61084dfa57b8afc07829bb19,forward,ramp,consistent,red,right,I guessed. I wasn't paying attention to red vs black differences,False,True,cube_feature,False,True,False,False,False,False
61084dfa57b8afc07829bb19,forward,ramp,reversed,black,left,I guessed,False,False,neither,False,True,False,False,False,False
61084dfa57b8afc07829bb19,forward,ramp,reversed,yellow,left,"Yellow is yes, blue is no. Yellow goes farther",True,False,ramp_feature,False,False,False,False,False,False
6685fc99a5f104da3398a1ca,backward,cube,consistent,yellow,right,seems the yellow travels faster,True,False,ramp_feature,False,False,False,False,False,False
6685fc99a5f104da3398a1ca,backward,cube,consistent,black,right,the red usually don't travel fast,False,True,cube_feature,False,False,False,False,False,False
6685fc99a5f104da3398a1ca,backward,cube,reversed,red,left,the black is does not travel faster,False,True,cube_feature,False,False,False,False,False,False
6685fc99a5f104da3398a1ca,backward,cube,reversed,yellow,left,the yellow travels faster,True,False,ramp_feature,False,False,False,False,False,False
