trial,element,block_noise_sd,ramp_noise_sd,block_noise_down,ramp_noise_down,block_noise_up,ramp_noise_up,final_position_down,final_position_up,agent_valid,physics_valid,ramp_valid
b,blue_ramp,0.0,1.7,0.0,2.6952927357790064,0.0,0.7019132387131903,645.1009364146472,1112.6946612983068,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.8940290821268495,0.0,2.351595340220166,645.1012052106331,605.937180163355,False,False,False
b,blue_ramp,0.0,1.7,0.0,2.5162510864924363,0.0,0.47323803815092563,645.1007549731708,361.6597054257578,False,False,True
b,blue_ramp,0.0,1.7,0.0,0.6445011558634218,0.0,1.1583774454016578,956.2623273174531,558.9971529855269,True,True,False
b,blue_ramp,0.0,1.7,0.0,3.767577441675044,0.0,0.5143592219588559,645.1027359670558,447.60318701380817,False,False,True
b,blue_ramp,0.0,1.7,0.0,1.8867435083824744,0.0,2.349652435131808,645.0771418977098,605.8902190382831,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.14990611187585814,0.0,2.4069554975276137,1031.6442897126872,607.27562709859,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.3512462849588727,0.0,1.8056564541533793,645.1007000198276,589.3806957811563,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.0588121850893604,0.0,2.6880071888793204,890.1647818776939,613.3922032991536,True,True,False
b,blue_ramp,0.0,1.7,0.0,4.035070113801849,0.0,0.2505873977252736,645.102133451186,333.79602766126595,False,False,True
b,blue_ramp,0.0,1.7,0.0,2.2426489360353723,0.0,0.16020173953342298,645.1007977913094,294.1811299106083,False,False,True
b,blue_ramp,0.0,1.7,0.0,2.2858724977925844,0.0,1.1069398780997635,645.1007574463177,950.3370190560762,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.852691674116653,0.0,-0.059208217971893955,645.0802357635974,197.81545832526425,False,False,True
b,blue_ramp,0.0,1.7,0.0,1.85607040604891,0.0,1.4134222610852236,645.0799286916711,861.0665072762673,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.29600322574336757,0.0,2.31956112199852,1006.9614188666725,605.1602693500006,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.6523142951575739,0.0,2.4541711238931208,952.7547865286972,608.4174447194183,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.7703905820036525,0.0,2.529390121527695,933.2818969576788,610.0905989349833,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.4494573173787566,0.0,2.137817510589036,988.4168770826476,600.1817301617413,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.309600131567265,0.0,2.5343051319666605,645.100735699916,610.1970003593177,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.1737260138416028,0.0,2.2598014780610964,869.1189499754352,603.5597496582764,True,True,False
b,blue_ramp,0.0,1.7,0.0,3.7110748798965587,0.0,0.840538349251472,645.1028148574019,1045.3980094907151,False,False,False
b,blue_ramp,0.0,1.7,0.0,1.9511063415456464,0.0,1.503857239926296,645.1011184001644,576.9632193814567,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.5131019843736901,0.0,2.6692981106828544,975.3828383499177,613.03277444689,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.6572021839347784,0.0,3.9633714856018907,950.5859078492996,634.5227705047159,True,True,False
b,blue_ramp,0.0,1.7,0.0,3.498153076720931,0.0,0.35270887325312,645.1024861847694,358.5177760056612,False,False,True
b,blue_ramp,0.0,1.7,0.0,0.09689748299697673,0.0,2.46391706476734,1053.4471268577147,608.6531136895447,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.6711661178070734,0.0,0.7309908619147273,645.1009087176591,1099.1544289406102,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.9097875021705767,0.0,3.0928660568535578,916.1992708343466,620.3490027374468,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.07557871603701265,0.0,1.8107285387571015,1042.7399486704203,589.5738867805853,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.3715056658995106,0.0,2.2317407192590992,1006.9349848385827,602.8084735797828,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.7430112757517988,0.0,0.832999760013507,645.734185711758,1051.2808944895633,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.024857804006343198,0.0,2.3133191668163904,1063.3390397440774,604.993108570533,True,True,False
b,blue_ramp,0.0,1.7,0.0,2.082319988329512,0.0,0.8918093750623926,645.0471570109786,1030.2497084493893,False,False,False
b,blue_ramp,0.0,1.7,0.0,0.15937055167781708,0.0,2.6594631924066428,1046.010447329394,612.687198173031,True,True,False
b,blue_ramp,0.0,1.7,0.0,0.08383487518021002,0.0,1.4777335733250598,1058.6575544208192,846.3832901472676,True,True,False
b,blue_ramp,0.0,1.7,0.0,1.7654181834248925,0.0,0.3959132036768297,645.2164506724575,329.95780740141623,False,False,True
